id,numerator,denominator,side,coefficient_fraction,coefficient_decimal,domain,training_graphs,training_extremizer_graph6,census_tested,census_broken,census_survived,census_first_graph6,census_first_n,census_first_observed_ratio,adversarial_tested,adversarial_broken,adversarial_survived,adversarial_first_graph6,adversarial_first_n,adversarial_first_family,adversarial_first_parameters,adversarial_first_observed_ratio
M1_over_M2_upper,M1,M2,upper,2,2,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
M1_over_F_upper,M1,F,upper,1,1,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
M1_over_HM_upper,M1,HM,upper,1/2,0.5,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
irr_over_M1_lower,irr,M1,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
sigma_over_M1_lower,sigma,M1,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
M1_over_M1_per_n_lower,M1,M1/n,lower,2,2,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
M1_over_M2_per_m_lower,M1,M2/m,lower,2,2,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
M2_over_F_upper,M2,F,upper,1/2,0.5,all connected graphs with n>=2,995,F~~~w,272197,0,272197,,,,8931,0,8931,,,,,
M2_over_HM_upper,M2,HM,upper,1/4,0.25,all connected graphs with n>=2,995,F~~~w,272197,0,272197,,,,8931,0,8931,,,,,
irr_over_M2_lower,irr,M2,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
sigma_over_M2_lower,sigma,M2,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
M2_over_M1_per_n_lower,M2,M1/n,lower,1,1,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
M2_over_M2_per_m_lower,M2,M2/m,lower,1,1,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
F_over_HM_lower,F,HM,lower,1/2,0.5,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
irr_over_F_lower,irr,F,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
irr_over_F_upper,irr,F,upper,1/5,0.20000000000000001,all connected graphs with n>=2,995,CF,272197,0,272197,,,,8931,0,8931,,,,,
sigma_over_F_lower,sigma,F,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
F_over_M1_per_n_lower,F,M1/n,lower,2,2,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
F_over_M2_per_m_lower,F,M2/m,lower,2,2,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
irr_over_HM_lower,irr,HM,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
irr_over_HM_upper,irr,HM,upper,1/8,0.125,all connected graphs with n>=2,995,CF,272197,0,272197,,,,8931,0,8931,,,,,
sigma_over_HM_lower,sigma,HM,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
HM_over_M1_per_n_lower,HM,M1/n,lower,4,4,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
HM_over_M2_per_m_lower,HM,M2/m,lower,4,4,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
irr_over_sigma_upper,irr,sigma,upper,1,1,connected nonregular graphs,980,F^~~w,272158,0,272158,,,,8787,0,8787,,,,,
irr_over_M1_per_n_lower,irr,M1/n,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
irr_over_M2_per_m_lower,irr,M2/m,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
sigma_over_M1_per_n_lower,sigma,M1/n,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
sigma_over_M2_per_m_lower,sigma,M2/m,lower,0,0,all connected graphs with n>=2,995,A_,272197,0,272197,,,,8931,0,8931,,,,,
