id,inequality,scope,source,status_note,census_candidates,census_broken,census_survived,census_first_graph6,census_first_n,census_first_family,census_first_parameters,adversarial_candidates,adversarial_broken,adversarial_survived,adversarial_first_graph6,adversarial_first_n,adversarial_first_family,adversarial_first_parameters
HV_general,M1/n <= M2/m  [m*M1 <= n*M2],"connected graphs, n>=2","Hansen and Vukicevic, Comparing the Zagreb Indices, Croat. Chem. Acta 80 (2007), Conjecture 1 (disproved in the same paper)","published conjecture, known false in general",273192,0,273192,,,,,8931,513,8418,P]oCGGC@?G?_@?@??_?G?@??,17,HV_K2nu_star_bridge,nu=2;p=11
HV_trees,M1/n <= M2/m,"trees, n>=2","Vukicevic and Graovac, Comparing Zagreb M1 and M2 indices for acyclic molecules, MATCH 57 (2007) 587-590",verified against literature,94,0,94,,,,,1931,0,1931,,,,
HV_chemical,M1/n <= M2/m,"chemical graphs (Delta<=4), n>=2","Hansen and Vukicevic, Comparing the Zagreb Indices, Croat. Chem. Acta 80 (2007), Theorem 1",verified against literature,14597,0,14597,,,,,397,0,397,,,,
HV_unicyclic,M1/n <= M2/m,connected unicyclic graphs,"Liu, On a conjecture about comparing Zagreb indices (2008), as catalogued in the 2011 Zagreb-comparison survey",source statement verified via survey,383,0,383,,,,,173,0,173,,,,
FG_lower_1,F >= M1^2/(2m)  [2mF >= M1^2],"connected graphs, n>=2","Furtula and Gutman, A forgotten topological index, J. Math. Chem. 53 (2015), quoted in Che and Chen (2016)",verified against literature,273192,0,273192,,,,,8931,0,8931,,,,
FG_lower_2,F >= M1^2/m - 2M2  [mF >= M1^2 - 2mM2],"connected graphs, n>=2","Furtula and Gutman (2015), quoted in Che and Chen (2016)",verified against literature,273192,0,273192,,,,,8931,0,8931,,,,
FG_upper_corrected,F <= 2M2 + m(n-2)^2,"connected graphs, n>=2","Furtula and Gutman (2015), corrected form documented by Che and Chen (2016)",corrected missing-square typo,273192,0,273192,,,,,8931,0,8931,,,,
FG_upper_literal_printed,F <= 2M2 + m(n-2),"connected graphs, n>=2",literal printed form in Furtula and Gutman (2015); Che and Chen (2016) identify the missing square as a typo,"known typographical error, tested literally",273192,21209,251983,CF,4,census,,8931,4603,4328,Cs,4,broom,handle=2;leaves=2
CheChen_lower_irr_M2,F >= irr^2/m + 2M2  [mF >= irr^2 + 2mM2],"connected graphs, n>=2","Che and Chen, Lower and Upper Bounds of the Forgotten Topological Index, MATCH 76 (2016), Proposition 3.1",verified against literature,273192,0,273192,,,,,8931,0,8931,,,,
CheChen_lower_irr_M1,F >= (irr^2 + M1^2)/(2m)  [2mF >= irr^2 + M1^2],"connected graphs, n>=2","Che and Chen (2016), Proposition 3.3",verified against literature,273192,0,273192,,,,,8931,0,8931,,,,
CheChen_upper_Delta_delta,F <= (Delta+delta)M1 + (Delta-delta)irr/2 - 2mDelta*delta,"connected graphs, n>=2","Che and Chen (2016), Proposition 4.2",verified against literature,273192,0,273192,,,,,8931,0,8931,,,,
M1_upper_Delta_delta,M1 <= 2m(Delta+delta) - nDelta*delta,"connected graphs, n>=2","Das bound, restated as Proposition 4.3 in Che and Chen (2016)",verified against literature,273192,0,273192,,,,,8931,0,8931,,,,
M1_common_lower,M1 >= 4m^2/n  [nM1 >= 4m^2],"connected graphs, n>=2","Ilic and Stevanovic, On Comparing Zagreb Indices, MATCH 62 (2009), Theorem 2.1",verified against literature,273192,0,273192,,,,,8931,0,8931,,,,
M2_common_lower,M2 >= 4m^3/n^2  [n^2 M2 >= 4m^3],"connected graphs, n>=2","Ilic and Stevanovic (2009), Theorem 2.2",verified against literature,273192,0,273192,,,,,8931,0,8931,,,,
M2_common_upper,M2/m <= Delta*M1/(2m)  [2M2 <= Delta*M1],"connected graphs, n>=2","Ilic and Stevanovic (2009), common upper bound",verified against literature,273192,0,273192,,,,,8931,0,8931,,,,
