family_index,graph6,n,m,Delta,delta,regular,tree,families,descriptions
0,Cq,4,3,2,1,0,1,caterpillar;corona,corona:base_n=2;base_index=0;base_g6=A_ | caterpillar:spine=2;leaves=1.1 | caterpillar:spine=3;leaves=0.0.1 | caterpillar:spine=3;leaves=1.0.0 | caterpillar:spine=4;leaves=0.0.0.0
1,E[O_,6,5,3,1,0,1,caterpillar;corona;spider,corona:base_n=3;base_index=0;base_g6=BW | spider:arms=1.2.2 | caterpillar:spine=3;leaves=1.1.1 | caterpillar:spine=4;leaves=0.0.1.1 | caterpillar:spine=4;leaves=1.1.0.0 | caterpillar:spine=5;leaves=0.0.1.0.0
2,E{O_,6,6,3,1,0,0,corona,corona:base_n=3;base_index=1;base_g6=Bw
3,GF`@?_,8,7,4,1,0,1,corona;spider,corona:base_n=4;base_index=0;base_g6=CF | spider:arms=1.2.2.2
4,GU`@?_,8,7,3,1,0,1,caterpillar;corona,corona:base_n=4;base_index=1;base_g6=CU | caterpillar:spine=4;leaves=1.1.1.1 | caterpillar:spine=5;leaves=1.1.1.0.0
5,GV`@?_,8,8,4,1,0,0,corona,corona:base_n=4;base_index=2;base_g6=CV
6,G]`@?_,8,8,3,1,0,0,corona,corona:base_n=4;base_index=3;base_g6=C]
7,G^`@?_,8,9,4,1,0,0,corona,corona:base_n=4;base_index=4;base_g6=C^
8,G~`@?_,8,10,4,1,0,0,corona,corona:base_n=4;base_index=5;base_g6=C~
9,I?}A@?OA?,10,9,5,1,0,1,corona;spider,corona:base_n=5;base_index=0;base_g6=D?{ | spider:arms=1.2.2.2.2
10,ICyA@?OA?,10,9,4,1,0,1,corona,corona:base_n=5;base_index=1;base_g6=DCw
11,IC}A@?OA?,10,10,5,1,0,0,corona,corona:base_n=5;base_index=2;base_g6=DC{
12,IEmA@?OA?,10,10,4,1,0,0,corona,corona:base_n=5;base_index=3;base_g6=DEk
13,IEyA@?OA?,10,10,4,1,0,0,corona,corona:base_n=5;base_index=4;base_g6=DEw
14,IE}A@?OA?,10,11,5,1,0,0,corona,corona:base_n=5;base_index=5;base_g6=DE{
15,IFyA@?OA?,10,11,4,1,0,0,corona,corona:base_n=5;base_index=6;base_g6=DFw
16,IF}A@?OA?,10,12,5,1,0,0,corona,corona:base_n=5;base_index=7;base_g6=DF{
17,IQqA@?OA?,10,9,3,1,0,1,caterpillar;corona,corona:base_n=5;base_index=8;base_g6=DQo | caterpillar:spine=6;leaves=1.1.1.1.0.0
18,IQyA@?OA?,10,10,4,1,0,0,corona,corona:base_n=5;base_index=9;base_g6=DQw
19,IQ}A@?OA?,10,11,5,1,0,0,corona,corona:base_n=5;base_index=10;base_g6=DQ{
20,ITyA@?OA?,10,11,4,1,0,0,corona,corona:base_n=5;base_index=11;base_g6=DTw
21,IT}A@?OA?,10,12,5,1,0,0,corona,corona:base_n=5;base_index=12;base_g6=DT{
22,IUYA@?OA?,10,10,3,1,0,0,corona,corona:base_n=5;base_index=13;base_g6=DUW
23,IUyA@?OA?,10,11,4,1,0,0,corona,corona:base_n=5;base_index=14;base_g6=DUw
24,IU}A@?OA?,10,12,5,1,0,0,corona,corona:base_n=5;base_index=15;base_g6=DU{
25,IV}A@?OA?,10,13,5,1,0,0,corona,corona:base_n=5;base_index=16;base_g6=DV{
26,I]yA@?OA?,10,12,4,1,0,0,corona,corona:base_n=5;base_index=17;base_g6=D]w
27,I]}A@?OA?,10,13,5,1,0,0,corona,corona:base_n=5;base_index=18;base_g6=D]{
28,I^}A@?OA?,10,14,5,1,0,0,corona,corona:base_n=5;base_index=19;base_g6=D^{
29,I~}A@?OA?,10,15,5,1,0,0,corona,corona:base_n=5;base_index=20;base_g6=D~{
30,K?B{A?_C?O?_,12,11,6,1,0,1,corona;spider,corona:base_n=6;base_index=0;base_g6=E?Bw | spider:arms=1.2.2.2.2.2
31,K?bsA?_C?O?_,12,11,5,1,0,1,corona,corona:base_n=6;base_index=1;base_g6=E?bo
32,K?b{A?_C?O?_,12,12,6,1,0,0,corona,corona:base_n=6;base_index=2;base_g6=E?bw
33,K?o{A?_C?O?_,12,11,4,1,0,1,corona,corona:base_n=6;base_index=3;base_g6=E?ow
34,K?qsA?_C?O?_,12,11,4,1,0,1,corona,corona:base_n=6;base_index=4;base_g6=E?qo
35,K?q{A?_C?O?_,12,12,5,1,0,0,corona,corona:base_n=6;base_index=5;base_g6=E?qw
36,K?rsA?_C?O?_,12,12,5,1,0,0,corona,corona:base_n=6;base_index=6;base_g6=E?ro
37,K?r{A?_C?O?_,12,13,6,1,0,0,corona,corona:base_n=6;base_index=7;base_g6=E?rw
38,K?zSA?_C?O?_,12,12,4,1,0,0,corona,corona:base_n=6;base_index=8;base_g6=E?zO
39,K?z[A?_C?O?_,12,13,5,1,0,0,corona,corona:base_n=6;base_index=9;base_g6=E?zW
40,K?zsA?_C?O?_,12,13,5,1,0,0,corona,corona:base_n=6;base_index=10;base_g6=E?zo
41,K?z{A?_C?O?_,12,14,6,1,0,0,corona,corona:base_n=6;base_index=11;base_g6=E?zw
42,K?~sA?_C?O?_,12,14,5,1,0,0,corona,corona:base_n=6;base_index=12;base_g6=E?~o
43,K?~{A?_C?O?_,12,15,6,1,0,0,corona,corona:base_n=6;base_index=13;base_g6=E?~w
44,KCRcA?_C?O?_,12,11,4,1,0,1,corona,corona:base_n=6;base_index=14;base_g6=ECR_
45,KCRsA?_C?O?_,12,12,5,1,0,0,corona,corona:base_n=6;base_index=15;base_g6=ECRo
46,KCR{A?_C?O?_,12,13,6,1,0,0,corona,corona:base_n=6;base_index=16;base_g6=ECRw
47,KCY[A?_C?O?_,12,12,4,1,0,0,corona,corona:base_n=6;base_index=17;base_g6=ECYW
48,KCZCA?_C?O?_,12,11,3,1,0,1,corona,corona:base_n=6;base_index=18;base_g6=ECZ?
49,KCZKA?_C?O?_,12,12,4,1,0,0,corona,corona:base_n=6;base_index=19;base_g6=ECZG
50,KCZSA?_C?O?_,12,12,4,1,0,0,corona,corona:base_n=6;base_index=20;base_g6=ECZO
51,KCZ[A?_C?O?_,12,13,5,1,0,0,corona,corona:base_n=6;base_index=21;base_g6=ECZW
52,KCZcA?_C?O?_,12,12,4,1,0,0,corona,corona:base_n=6;base_index=22;base_g6=ECZ_
53,KCZkA?_C?O?_,12,13,5,1,0,0,corona,corona:base_n=6;base_index=23;base_g6=ECZg
54,KCZsA?_C?O?_,12,13,5,1,0,0,corona,corona:base_n=6;base_index=24;base_g6=ECZo
