graph6,n,m,Delta,delta,tree,regular,gamma,gamma_set,gamma_t,gamma_t_set,independent_domination,independent_domination_set,connected_domination,connected_domination_set,roman_domination,roman_twos,roman_ones,paired_domination,paired_domination_set,paired_matching,alpha,alpha_set,tau,min_maximal_matching,mu_unmatched,mu_matching,ore_slack,tx_i_mu_slack
Cq,4,3,2,1,1,0,2,3,2,3,2,6,2,3,3,1,8,2,3,0-1,2,6,2,1,12,0-1,0,-1
E[O_,6,5,3,1,1,0,3,7,3,7,3,28,3,7,4,4,24,4,15,0-3;1-2,3,28,3,2,40,0-2;1-4,0,-1
E{O_,6,6,3,1,0,0,3,7,3,7,3,28,3,7,4,1,48,4,15,0-3;1-2,3,28,3,2,24,0-1;2-5,0,-1
GF`@?_,8,7,4,1,1,0,4,15,4,15,4,120,4,15,5,8,112,6,63,0-4;1-5;2-3,4,120,4,3,144,0-3;1-5;2-6,0,-1
GU`@?_,8,7,3,1,1,0,4,15,4,15,4,60,4,15,6,1,226,4,15,0-2;1-3,4,60,4,2,240,0-2;1-3,0,-2
GV`@?_,8,8,4,1,0,0,4,15,4,15,4,120,4,15,5,8,112,4,15,0-2;1-3,4,120,4,2,240,0-2;1-3,0,-2
G]`@?_,8,8,3,1,0,0,4,15,4,15,4,60,4,15,6,1,226,4,15,0-2;1-3,4,60,4,2,240,0-2;1-3,0,-2
G^`@?_,8,9,4,1,0,0,4,15,4,15,4,120,4,15,5,4,176,4,15,0-2;1-3,4,120,4,2,240,0-2;1-3,0,-2
G~`@?_,8,10,4,1,0,0,4,15,4,15,4,120,4,15,5,1,224,4,15,0-1;2-3,4,120,4,2,240,0-1;2-3,0,-2
I?}A@?OA?,10,9,5,1,1,0,5,31,5,31,5,496,5,31,6,16,480,8,255,0-5;1-6;2-7;3-4,5,496,5,4,544,0-4;1-6;2-7;3-8,0,-1
ICyA@?OA?,10,9,4,1,1,0,5,31,5,31,5,248,5,31,7,16,488,6,95,0-3;1-6;2-4,5,248,5,3,864,0-3;1-4;2-7,0,-2
IC}A@?OA?,10,10,5,1,0,0,5,31,5,31,5,496,5,31,6,16,480,6,95,0-3;1-6;2-4,5,496,5,3,864,0-3;1-4;2-7,0,-2
IEmA@?OA?,10,10,4,1,0,0,5,31,5,31,5,434,5,31,7,8,740,6,63,0-5;1-3;2-4,5,434,5,3,864,0-4;1-3;2-7,0,-2
IEyA@?OA?,10,10,4,1,0,0,5,31,5,31,5,248,5,31,7,12,608,6,63,0-5;1-3;2-4,5,248,5,3,864,0-3;1-4;2-7,0,-2
IE}A@?OA?,10,11,5,1,0,0,5,31,5,31,5,496,5,31,6,16,480,6,63,0-5;1-3;2-4,5,496,5,3,864,0-3;1-4;2-7,0,-2
IFyA@?OA?,10,11,4,1,0,0,5,31,5,31,5,248,5,31,7,8,752,6,63,0-5;1-3;2-4,5,248,5,3,864,0-3;1-4;2-7,0,-2
IF}A@?OA?,10,12,5,1,0,0,5,31,5,31,5,496,5,31,6,8,736,6,63,0-5;1-3;2-4,5,496,5,3,864,0-3;1-4;2-7,0,-2
IQqA@?OA?,10,9,3,1,1,0,5,31,5,31,5,124,5,31,7,3,896,6,159,0-4;1-3;2-7,5,124,5,3,480,0-2;1-3;4-9,0,-2
IQyA@?OA?,10,10,4,1,0,0,5,31,5,31,5,248,5,31,7,3,896,6,63,0-5;1-3;2-4,5,248,5,3,480,0-2;1-3;4-9,0,-2
IQ}A@?OA?,10,11,5,1,0,0,5,31,5,31,5,496,5,31,6,16,480,6,63,0-5;1-3;2-4,5,496,5,3,480,0-2;1-3;4-9,0,-2
ITyA@?OA?,10,11,4,1,0,0,5,31,5,31,5,248,5,31,7,1,962,6,63,0-5;1-4;2-3,5,248,5,3,736,0-2;1-4;3-8,0,-2
IT}A@?OA?,10,12,5,1,0,0,5,31,5,31,5,496,5,31,6,16,480,6,63,0-5;1-4;2-3,5,496,5,3,736,0-2;1-4;3-8,0,-2
IUYA@?OA?,10,10,3,1,0,0,5,31,5,31,5,248,5,31,7,3,896,6,63,0-5;1-3;2-4,5,248,5,3,480,0-2;1-3;4-9,0,-2
IUyA@?OA?,10,11,4,1,0,0,5,31,5,31,5,248,5,31,7,1,962,6,63,0-5;1-3;2-4,5,248,5,3,480,0-2;1-3;4-9,0,-2
IU}A@?OA?,10,12,5,1,0,0,5,31,5,31,5,496,5,31,6,16,480,6,63,0-5;1-3;2-4,5,496,5,3,480,0-2;1-3;4-9,0,-2
IV}A@?OA?,10,13,5,1,0,0,5,31,5,31,5,496,5,31,6,8,736,6,63,0-5;1-3;2-4,5,496,5,3,480,0-2;1-3;4-9,0,-2
I]yA@?OA?,10,12,4,1,0,0,5,31,5,31,5,248,5,31,7,1,962,6,63,0-5;1-3;2-4,5,248,5,3,480,0-2;1-3;4-9,0,-2
I]}A@?OA?,10,13,5,1,0,0,5,31,5,31,5,496,5,31,6,16,480,6,63,0-5;1-2;3-4,5,496,5,3,480,0-2;1-3;4-9,0,-2
I^}A@?OA?,10,14,5,1,0,0,5,31,5,31,5,496,5,31,6,4,864,6,63,0-5;1-2;3-4,5,496,5,3,480,0-2;1-3;4-9,0,-2
I~}A@?OA?,10,15,5,1,0,0,5,31,5,31,5,496,5,31,6,1,960,6,63,0-5;1-2;3-4,5,496,5,3,480,0-1;2-3;4-9,0,-2
K?B{A?_C?O?_,12,11,6,1,1,0,6,63,6,63,6,2016,6,63,7,32,1984,10,1023,0-6;1-7;2-8;3-9;4-5,6,2016,6,5,2112,0-5;1-7;2-8;3-9;4-10,0,-1
K?bsA?_C?O?_,12,11,5,1,1,0,6,63,6,63,6,1008,6,63,8,32,2000,8,447,0-4;1-7;2-8;3-5,6,1008,6,4,3264,0-4;1-5;2-8;3-9,0,-2
K?b{A?_C?O?_,12,12,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,8,447,0-4;1-7;2-8;3-5,6,2016,6,4,3264,0-4;1-5;2-8;3-9,0,-2
K?o{A?_C?O?_,12,11,4,1,1,0,6,63,6,63,6,1827,6,63,8,48,960,8,383,0-6;1-4;2-8;3-5,6,1827,6,4,3392,0-4;1-7;2-5;3-9,0,-2
