graph6,n,m,mismatches,certificate_failures,all_values_agree,all_stored_certificates_valid
@,1,0,,,True,True
A_,2,1,,,True,True
BW,3,2,,,True,True
Bw,3,3,,,True,True
CF,4,3,,,True,True
CU,4,3,,,True,True
CV,4,4,,,True,True
C],4,4,,,True,True
C^,4,5,,,True,True
C~,4,6,,,True,True
D?{,5,4,,,True,True
DCw,5,4,,,True,True
DC{,5,5,,,True,True
DEk,5,5,,,True,True
DEw,5,5,,,True,True
DE{,5,6,,,True,True
DFw,5,6,,,True,True
DF{,5,7,,,True,True
DQo,5,4,,,True,True
DQw,5,5,,,True,True
DQ{,5,6,,,True,True
DTw,5,6,,,True,True
DT{,5,7,,,True,True
DUW,5,5,,,True,True
DUw,5,6,,,True,True
DU{,5,7,,,True,True
DV{,5,8,,,True,True
D]w,5,7,,,True,True
D]{,5,8,,,True,True
D^{,5,9,,,True,True
D~{,5,10,,,True,True
E?Bw,6,5,,,True,True
E?bo,6,5,,,True,True
E?bw,6,6,,,True,True
E?ow,6,5,,,True,True
E?qo,6,5,,,True,True
E?qw,6,6,,,True,True
E?ro,6,6,,,True,True
E?rw,6,7,,,True,True
E?zO,6,6,,,True,True
E?zW,6,7,,,True,True
E?zo,6,7,,,True,True
E?zw,6,8,,,True,True
E?~o,6,8,,,True,True
E?~w,6,9,,,True,True
ECR_,6,5,,,True,True
ECRo,6,6,,,True,True
ECRw,6,7,,,True,True
ECYW,6,6,,,True,True
ECZ?,6,5,,,True,True
ECZG,6,6,,,True,True
ECZO,6,6,,,True,True
ECZW,6,7,,,True,True
ECZ_,6,6,,,True,True
ECZg,6,7,,,True,True
ECZo,6,7,,,True,True
ECZw,6,8,,,True,True
ECfo,6,7,,,True,True
ECfw,6,8,,,True,True
ECpo,6,6,,,True,True
ECqg,6,6,,,True,True
ECr_,6,6,,,True,True
ECrg,6,7,,,True,True
ECro,6,7,,,True,True
ECrw,6,8,,,True,True
ECuw,6,8,,,True,True
ECvo,6,8,,,True,True
ECvw,6,9,,,True,True
ECxo,6,7,,,True,True
ECxw,6,8,,,True,True
ECzW,6,8,,,True,True
ECzg,6,8,,,True,True
ECzo,6,8,,,True,True
ECzw,6,9,,,True,True
EC~o,6,9,,,True,True
EC~w,6,10,,,True,True
EEhW,6,7,,,True,True
EEh_,6,6,,,True,True
EEho,6,7,,,True,True
EEhw,6,8,,,True,True
EEiW,6,7,,,True,True
EEio,6,7,,,True,True
EEjW,6,8,,,True,True
EEj_,6,7,,,True,True
EEjo,6,8,,,True,True
EEjw,6,9,,,True,True
EElw,6,9,,,True,True
EEno,6,9,,,True,True
EEnw,6,10,,,True,True
EEr_,6,7,,,True,True
EEro,6,8,,,True,True
EErw,6,9,,,True,True
EEuw,6,9,,,True,True
EEvo,6,9,,,True,True
EEvw,6,10,,,True,True
EEzO,6,8,,,True,True
EEz_,6,8,,,True,True
EEzg,6,9,,,True,True
EEzo,6,9,,,True,True
EEzw,6,10,,,True,True
EE~w,6,11,,,True,True
EFzW,6,10,,,True,True
EFz_,6,9,,,True,True
EFzo,6,10,,,True,True
EFzw,6,11,,,True,True
EF~w,6,12,,,True,True
EQjO,6,7,,,True,True
EQj_,6,7,,,True,True
EQjg,6,8,,,True,True
EQjo,6,8,,,True,True
EQjw,6,9,,,True,True
EQyw,6,9,,,True,True
EQzO,6,8,,,True,True
EQzW,6,9,,,True,True
EQzg,6,9,,,True,True
EQzo,6,9,,,True,True
EQzw,6,10,,,True,True
EQ~o,6,10,,,True,True
EQ~w,6,11,,,True,True
ETno,6,10,,,True,True
ETnw,6,11,,,True,True
ETzg,6,10,,,True,True
ETzo,6,10,,,True,True
ETzw,6,11,,,True,True
ET~w,6,12,,,True,True
EUZO,6,8,,,True,True
EUZ_,6,8,,,True,True
EUZo,6,9,,,True,True
EUZw,6,10,,,True,True
EUxo,6,9,,,True,True
EUzW,6,10,,,True,True
EUzo,6,10,,,True,True
