global_pair_index,g6_G,g6_H,n_G,n_H,bb_gt,ilp_gt,bb_gd,ilp_gd,cartesian_witness_ok,direct_witness_ok,agree,gt_status,gd_status
0,A_,A_,2,2,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1,A_,BW,2,3,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
2,A_,Bw,2,3,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
3,A_,CF,2,4,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
4,A_,CU,2,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
5,A_,CV,2,4,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
6,A_,C],2,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
7,A_,C^,2,4,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
8,A_,C~,2,4,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
9,A_,D?{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
10,A_,DCw,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
11,A_,DC{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
12,A_,DEk,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
13,A_,DEw,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
14,A_,DE{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
15,A_,DFw,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
16,A_,DF{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
17,A_,DQo,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
18,A_,DQw,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
19,A_,DQ{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
20,A_,DTw,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
21,A_,DT{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
22,A_,DUW,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
23,A_,DUw,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
24,A_,DU{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
25,A_,DV{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
26,A_,D]w,2,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
27,A_,D]{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
28,A_,D^{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
29,A_,D~{,2,5,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
30,A_,E?Bw,2,6,2,2,2,2,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
102,A_,EFzo,2,6,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
142,BW,BW,3,3,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
143,BW,Bw,3,3,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
144,BW,CF,3,4,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
145,BW,CU,3,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
146,BW,CV,3,4,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
147,BW,C],3,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
148,BW,C^,3,4,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
149,BW,C~,3,4,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
150,BW,D?{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
151,BW,DCw,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
152,BW,DC{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
153,BW,DEk,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
154,BW,DEw,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
155,BW,DE{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
156,BW,DFw,3,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
157,BW,DF{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
158,BW,DQo,3,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
159,BW,DQw,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
160,BW,DQ{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
161,BW,DTw,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
162,BW,DT{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
163,BW,DUW,3,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
164,BW,DUw,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
165,BW,DU{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
166,BW,DV{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
167,BW,D]w,3,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
168,BW,D]{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
169,BW,D^{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
170,BW,D~{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
202,BW,ECrg,3,6,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
212,BW,ECzo,3,6,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
234,BW,EEvw,3,6,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
249,BW,EQjo,3,6,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
283,Bw,Bw,3,3,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
284,Bw,CF,3,4,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
285,Bw,CU,3,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
286,Bw,CV,3,4,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
287,Bw,C],3,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
288,Bw,C^,3,4,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
289,Bw,C~,3,4,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
290,Bw,D?{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
291,Bw,DCw,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
292,Bw,DC{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
293,Bw,DEk,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
294,Bw,DEw,3,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
295,Bw,DE{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
296,Bw,DFw,3,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
297,Bw,DF{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
298,Bw,DQo,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
299,Bw,DQw,3,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
300,Bw,DQ{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
301,Bw,DTw,3,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
302,Bw,DT{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
303,Bw,DUW,3,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
304,Bw,DUw,3,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
305,Bw,DU{,3,5,3,3,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
