global_pair_index,index_G,index_H,g6_G,g6_H,n_G,n_H,gamma_t_cartesian,gamma_direct,slack,cartesian_set,direct_set,cartesian_nodes_searched,direct_nodes_searched,direct_components
0,0,0,A_,A_,2,2,2,2,0,1;0,0;1,3,3,2
1,0,1,A_,BW,2,3,2,2,0,2;5,5;2,3,3,2
2,0,2,A_,Bw,2,3,2,2,0,1;4,0;3,3,3,1
3,0,3,A_,CF,2,4,2,2,0,3;7,7;3,3,3,2
4,0,4,A_,CU,2,4,4,4,0,3;0;7;4,7;4;3;0,5,5,2
5,0,5,A_,CV,2,4,2,2,0,3;7,7;3,3,3,1
6,0,6,A_,C],2,4,4,4,0,2;3;0;1,0;1;2;3,12,12,2
7,0,7,A_,C^,2,4,2,2,0,2;6,6;2,3,3,1
8,0,8,A_,C~,2,4,2,2,0,1;5,0;4,3,3,1
9,0,9,A_,D?{,2,5,2,2,0,4;9,9;4,3,3,2
10,0,10,A_,DCw,2,5,4,4,0,4;0;9;5,9;5;4;0,5,5,2
11,0,11,A_,DC{,2,5,2,2,0,4;9,9;4,3,3,1
12,0,12,A_,DEk,2,5,4,4,0,3;4;8;9,8;9;3;4,5,5,1
13,0,13,A_,DEw,2,5,4,4,0,4;9;0;3,9;4;3;0,5,5,2
14,0,14,A_,DE{,2,5,2,2,0,4;9,9;4,3,3,1
15,0,15,A_,DFw,2,5,4,4,0,3;4;8;9,8;9;3;4,12,12,2
16,0,16,A_,DF{,2,5,2,2,0,3;8,8;3,3,3,1
17,0,17,A_,DQo,2,5,4,4,0,0;1;5;6,5;6;0;1,5,5,2
18,0,18,A_,DQw,2,5,4,4,0,1;6;4;9,6;1;9;4,6,6,1
19,0,19,A_,DQ{,2,5,2,2,0,4;9,9;4,3,3,1
20,0,20,A_,DTw,2,5,4,4,0,4;9;0;5,9;4;5;0,5,5,1
21,0,21,A_,DT{,2,5,2,2,0,4;9,9;4,3,3,1
22,0,22,A_,DUW,2,5,4,4,0,2;8;4;3,0;9;6;2,5,5,1
23,0,23,A_,DUw,2,5,4,4,0,4;5;0;9,9;0;5;4,14,14,1
24,0,24,A_,DU{,2,5,2,2,0,4;9,9;4,3,3,1
25,0,25,A_,DV{,2,5,2,2,0,3;8,8;3,3,3,1
26,0,26,A_,D]w,2,5,4,4,0,0;7;5;2,5;2;0;1,15,15,1
27,0,27,A_,D]{,2,5,2,2,0,4;9,9;4,3,3,1
28,0,28,A_,D^{,2,5,2,2,0,2;7,7;2,3,3,1
29,0,29,A_,D~{,2,5,2,2,0,1;6,0;5,3,3,1
30,0,30,A_,E?Bw,2,6,2,2,0,5;11,11;5,3,3,2
31,0,31,A_,E?bo,2,6,4,4,0,5;0;11;6,11;6;5;0,5,5,2
32,0,32,A_,E?bw,2,6,2,2,0,5;11,11;5,3,3,1
33,0,33,A_,E?ow,2,6,4,4,0,4;5;10;11,10;11;4;5,5,5,2
34,0,34,A_,E?qo,2,6,4,4,0,4;5;10;11,10;11;4;5,5,5,2
35,0,35,A_,E?qw,2,6,4,4,0,4;5;10;11,10;11;4;5,5,5,1
36,0,36,A_,E?ro,2,6,4,4,0,5;11;0;4,11;5;4;0,5,5,2
37,0,37,A_,E?rw,2,6,2,2,0,5;11,11;5,3,3,1
38,0,38,A_,E?zO,2,6,4,4,0,4;5;10;11,10;11;4;5,5,5,2
39,0,39,A_,E?zW,2,6,4,4,0,4;5;10;11,10;11;4;5,5,5,1
40,0,40,A_,E?zo,2,6,4,4,0,5;11;10;4,11;5;4;10,5,5,2
41,0,41,A_,E?zw,2,6,2,2,0,5;11,11;5,3,3,1
42,0,42,A_,E?~o,2,6,4,4,0,4;5;10;11,10;11;4;5,12,12,2
43,0,43,A_,E?~w,2,6,2,2,0,4;10,10;4,3,3,1
44,0,44,A_,ECR_,2,6,6,6,0,5;0;1;11;6;7,11;6;7;5;0;1,7,7,2
45,0,45,A_,ECRo,2,6,4,4,0,5;1;11;7,11;7;5;1,5,5,1
46,0,46,A_,ECRw,2,6,2,2,0,5;11,11;5,3,3,1
47,0,47,A_,ECYW,2,6,4,4,0,4;10;5;11,10;4;11;5,6,6,1
48,0,48,A_,ECZ?,2,6,4,4,0,4;0;10;6,10;6;4;0,5,5,2
49,0,49,A_,ECZG,2,6,4,4,0,4;0;10;6,10;6;4;0,5,5,1
50,0,50,A_,ECZO,2,6,4,4,0,4;10;5;11,10;4;11;5,6,6,1
51,0,51,A_,ECZW,2,6,4,4,0,4;10;5;11,10;4;11;5,6,6,1
52,0,52,A_,ECZ_,2,6,4,4,0,0;6;4;10,6;0;10;4,6,6,2
53,0,53,A_,ECZg,2,6,4,4,0,0;6;5;11,6;0;11;5,6,6,1
54,0,54,A_,ECZo,2,6,4,4,0,5;11;1;4,11;5;4;1,6,6,1
55,0,55,A_,ECZw,2,6,2,2,0,5;11,11;5,3,3,1
56,0,56,A_,ECfo,2,6,4,4,0,5;11;0;6,11;5;6;0,5,5,1
57,0,57,A_,ECfw,2,6,2,2,0,5;11,11;5,3,3,1
58,0,58,A_,ECpo,2,6,4,4,0,5;11;4;0,11;5;0;4,6,6,1
59,0,59,A_,ECqg,2,6,6,6,0,4;5;0;10;11;6,10;11;6;4;5;0,7,7,1
60,0,60,A_,ECr_,2,6,4,4,0,5;0;11;6,11;6;5;0,5,5,2
61,0,61,A_,ECrg,2,6,4,4,0,5;0;11;6,11;6;5;0,5,5,1
62,0,62,A_,ECro,2,6,4,4,0,5;11;0;6,11;5;6;0,5,5,1
63,0,63,A_,ECrw,2,6,2,2,0,5;11,11;5,3,3,1
64,0,64,A_,ECuw,2,6,4,4,0,4;5;10;11,10;11;4;5,5,5,1
65,0,65,A_,ECvo,2,6,4,4,0,5;11;0;4,11;5;4;0,5,5,1
66,0,66,A_,ECvw,2,6,2,2,0,5;11,11;5,3,3,1
67,0,67,A_,ECxo,2,6,4,4,0,4;11;0;5,10;5;6;11,10,10,1
68,0,68,A_,ECxw,2,6,4,4,0,4;11;5;10,10;5;11;4,14,14,1
69,0,69,A_,ECzW,2,6,4,4,0,4;10;5;11,10;4;11;5,5,5,1
70,0,70,A_,ECzg,2,6,4,4,0,0;6;4;10,6;0;10;4,6,6,1
71,0,71,A_,ECzo,2,6,4,4,0,5;6;11;0,11;0;5;4,13,13,1
72,0,72,A_,ECzw,2,6,2,2,0,5;11,11;5,3,3,1
73,0,73,A_,EC~o,2,6,4,4,0,4;6;10;11,10;0;4;5,14,14,1
74,0,74,A_,EC~w,2,6,2,2,0,4;10,10;4,3,3,1
75,0,75,A_,EEhW,2,6,4,4,0,4;10;3;9,10;4;9;3,6,6,1
76,0,76,A_,EEh_,2,6,4,4,0,3;8;0;11,0;11;3;8,5,5,2
77,0,77,A_,EEho,2,6,4,4,0,3;8;0;11,9;2;4;3,9,9,1
78,0,78,A_,EEhw,2,6,4,4,0,3;5;11;9,9;11;5;3,15,15,1
79,0,79,A_,EEiW,2,6,4,4,0,3;4;9;10,9;10;3;4,5,5,1
80,0,80,A_,EEio,2,6,4,4,0,3;9;4;2,9;3;2;4,6,6,1
81,0,81,A_,EEjW,2,6,4,4,0,4;10;5;11,10;4;11;5,6,6,1
82,0,82,A_,EEj_,2,6,4,4,0,5;6;0;11,11;0;6;5,6,6,2
83,0,83,A_,EEjo,2,6,4,4,0,5;11;0;6,11;5;6;0,6,6,1
84,0,84,A_,EEjw,2,6,2,2,0,5;11,11;5,3,3,1
85,0,85,A_,EElw,2,6,4,4,0,3;9;4;10,9;3;10;4,15,15,1
86,0,86,A_,EEno,2,6,4,4,0,3;11;5;9,9;5;11;3,12,12,1
87,0,87,A_,EEnw,2,6,2,2,0,5;11,11;5,3,3,1
88,0,88,A_,EEr_,2,6,4,4,0,5;11;0;6,11;5;6;0,6,6,2
89,0,89,A_,EEro,2,6,4,4,0,5;11;0;6,11;5;6;0,5,5,1
90,0,90,A_,EErw,2,6,2,2,0,5;11,11;5,3,3,1
91,0,91,A_,EEuw,2,6,4,4,0,5;11;3;9,11;5;9;3,5,5,1
92,0,92,A_,EEvo,2,6,4,4,0,5;11;3;9,11;5;9;3,5,5,1
93,0,93,A_,EEvw,2,6,2,2,0,5;11,11;5,3,3,1
94,0,94,A_,EEzO,2,6,4,4,0,4;10;0;6,10;4;3;5,6,6,1
95,0,95,A_,EEz_,2,6,4,4,0,4;6;0;10,10;0;6;4,6,6,2
96,0,96,A_,EEzg,2,6,4,4,0,4;10;0;6,10;4;6;0,6,6,1
97,0,97,A_,EEzo,2,6,4,4,0,5;6;11;0,11;0;5;4,14,14,1
98,0,98,A_,EEzw,2,6,2,2,0,5;11,11;5,3,3,1
99,0,99,A_,EE~w,2,6,2,2,0,4;10,10;4,3,3,1
100,0,100,A_,EFzW,2,6,4,4,0,3;11;9;5,9;5;3;4,15,15,1
101,0,101,A_,EFz_,2,6,4,4,0,3;6;0;9,0;9;3;6,14,14,2
102,0,102,A_,EFzo,2,6,4,4,0,3;6;9;0,9;0;3;4,16,16,1
103,0,103,A_,EFzw,2,6,2,2,0,5;11,11;5,3,3,1
104,0,104,A_,EF~w,2,6,2,2,0,3;9,9;3,3,3,1
105,0,105,A_,EQjO,2,6,4,4,0,5;11;0;6,11;5;6;0,6,6,1
106,0,106,A_,EQj_,2,6,4,4,0,1;7;0;6,7;1;6;0,6,6,1
107,0,107,A_,EQjg,2,6,4,4,0,1;7;5;11,7;1;11;5,6,6,1
108,0,108,A_,EQjo,2,6,4,4,0,5;11;0;6,11;5;6;0,6,6,1
109,0,109,A_,EQjw,2,6,2,2,0,5;11,11;5,3,3,1
110,0,110,A_,EQyw,2,6,4,4,0,4;11;5;10,10;5;11;4,16,16,1
111,0,111,A_,EQzO,2,6,4,4,0,0;5;6;11,6;11;0;5,6,6,1
112,0,112,A_,EQzW,2,6,4,4,0,4;10;5;11,10;4;11;5,6,6,1
113,0,113,A_,EQzg,2,6,4,4,0,1;7;4;10,7;1;10;4,6,6,1
114,0,114,A_,EQzo,2,6,4,4,0,5;11;0;4,11;5;4;0,13,13,1
