column_i,column_j,count_00,count_01,count_02,count_10,count_11,count_12,count_20,count_21,count_22
0,1,1,1,3,2,1,1,1,2,1
0,2,1,2,2,2,1,1,1,1,2
0,3,3,1,1,1,1,2,1,2,1
0,4,2,1,2,1,2,1,1,1,2
0,5,1,3,1,2,1,1,1,1,2
0,6,2,2,1,1,2,1,1,1,2
0,7,1,2,2,1,1,2,2,1,1
1,2,1,2,1,1,1,2,2,1,2
1,3,2,1,1,1,1,2,2,2,1
1,4,2,1,1,1,2,1,1,1,3
1,5,1,1,2,1,2,1,2,2,1
1,6,1,2,1,2,1,1,1,2,2
1,7,2,1,1,1,2,1,1,1,3
2,3,1,2,1,1,1,2,3,1,1
2,4,1,2,1,1,1,2,2,1,2
2,5,1,2,1,1,1,2,2,2,1
2,6,2,1,1,1,1,2,1,3,1
2,7,2,1,1,1,2,1,1,1,3
3,4,1,2,2,2,1,1,1,1,2
3,5,1,3,1,1,1,2,2,1,1
3,6,1,2,2,1,2,1,2,1,1
3,7,1,1,3,1,2,1,2,1,1
4,5,2,1,1,1,1,2,1,3,1
4,6,2,1,1,1,1,2,1,3,1
4,7,2,1,1,1,2,1,1,1,3
5,6,1,1,2,1,3,1,2,1,1
5,7,1,2,1,2,1,2,1,1,2
6,7,1,1,2,1,2,2,2,1,1
