index,bound,sat,cost,new_degree,neighbor_mask_hex,cnf_clauses,cnf_variables,i4,k4
164,1,False,,,,9228,4657,1121,1187
165,1,False,,,,9216,4651,1131,1174
166,1,False,,,,9212,4649,1166,1138
167,1,False,,,,9208,4647,1139,1164
168,1,False,,,,9228,4657,1131,1177
169,1,False,,,,9204,4645,1151,1151
170,1,False,,,,9240,4663,1136,1175
171,1,False,,,,9256,4671,1121,1194
172,1,False,,,,9280,4683,1138,1183
173,1,False,,,,9308,4697,1119,1209
174,1,False,,,,9268,4677,1148,1170
175,1,False,,,,9296,4691,1129,1196
176,1,False,,,,9280,4683,1138,1183
177,1,False,,,,9224,4655,1145,1162
178,1,False,,,,9284,4685,1126,1196
179,1,False,,,,9268,4677,1125,1193
180,1,False,,,,9256,4671,1135,1180
181,1,False,,,,9216,4651,1142,1163
182,1,False,,,,9224,4655,1153,1154
183,1,False,,,,9236,4661,1143,1167
184,1,False,,,,9224,4655,1144,1163
185,1,False,,,,9232,4659,1142,1167
186,1,False,,,,9244,4665,1138,1174
187,1,False,,,,9216,4651,1141,1164
188,1,False,,,,9232,4659,1145,1164
189,1,False,,,,9268,4677,1129,1189
190,1,False,,,,9252,4669,1130,1184
191,1,False,,,,9240,4663,1145,1166
192,1,False,,,,9252,4669,1161,1153
193,1,False,,,,9260,4673,1145,1171
194,1,False,,,,9196,4641,1130,1170
195,1,False,,,,9220,4653,1121,1185
196,1,False,,,,9188,4637,1137,1161
197,1,False,,,,9212,4649,1130,1174
198,1,False,,,,9228,4657,1122,1186
199,1,False,,,,9204,4645,1129,1173
200,1,False,,,,9208,4647,1128,1175
201,1,False,,,,9232,4659,1121,1188
202,1,False,,,,9228,4657,1120,1188
203,1,False,,,,9252,4669,1113,1201
204,1,False,,,,9184,4635,1140,1157
205,1,False,,,,9208,4647,1133,1170
206,1,False,,,,9208,4647,1131,1172
207,1,False,,,,9232,4659,1124,1185
208,1,False,,,,9192,4639,1128,1171
209,1,False,,,,9216,4651,1121,1184
210,1,False,,,,9208,4647,1120,1183
211,1,False,,,,9232,4659,1113,1196
212,1,False,,,,9212,4649,1119,1185
213,1,False,,,,9236,4661,1112,1198
214,1,False,,,,9232,4659,1111,1198
215,1,False,,,,9244,4665,1114,1198
216,1,False,,,,9220,4653,1123,1183
217,1,False,,,,9248,4667,1132,1181
218,1,False,,,,9256,4671,1137,1178
219,1,False,,,,9244,4665,1147,1165
220,1,False,,,,9264,4675,1159,1158
221,1,False,,,,9244,4665,1171,1141
222,1,False,,,,9268,4677,1147,1171
223,1,False,,,,9248,4667,1159,1154
224,1,False,,,,9244,4665,1158,1154
225,1,False,,,,9220,4653,1161,1145
226,1,False,,,,9252,4669,1169,1145
227,1,False,,,,9232,4659,1181,1128
228,1,False,,,,9260,4673,1149,1167
229,1,False,,,,9216,4651,1142,1163
230,1,False,,,,9240,4663,1133,1178
231,1,False,,,,9260,4673,1125,1191
232,1,False,,,,9236,4661,1134,1176
233,1,False,,,,9212,4649,1150,1154
234,1,False,,,,9232,4659,1142,1167
235,1,False,,,,9248,4667,1134,1179
236,1,False,,,,9228,4657,1142,1166
237,1,False,,,,9232,4659,1141,1168
238,1,False,,,,9252,4669,1133,1181
239,1,False,,,,9252,4669,1133,1181
240,1,False,,,,9272,4679,1125,1194
241,1,False,,,,9204,4645,1152,1150
242,1,False,,,,9224,4655,1144,1163
243,1,False,,,,9228,4657,1143,1165
244,1,False,,,,9248,4667,1135,1178
245,1,False,,,,9212,4649,1140,1164
246,1,False,,,,9232,4659,1132,1177
247,1,False,,,,9248,4667,1124,1189
248,1,False,,,,9228,4657,1132,1176
249,1,False,,,,9232,4659,1131,1178
250,1,False,,,,9252,4669,1123,1191
251,1,False,,,,9252,4669,1123,1191
252,1,False,,,,9272,4679,1115,1204
253,1,False,,,,9240,4663,1130,1181
254,1,False,,,,9260,4673,1148,1168
