index,bound,sat,cost,new_degree,neighbor_mask_hex,cnf_clauses,cnf_variables,i4,k4
0,2,False,,,,13866,6977,1172,1141
1,2,False,,,,13818,6953,1156,1149
2,2,False,,,,13830,6959,1145,1162
3,2,False,,,,13836,6962,1186,1122
4,2,False,,,,13824,6956,1171,1135
5,2,False,,,,13830,6959,1159,1148
6,2,False,,,,13860,6974,1151,1161
7,2,False,,,,13824,6956,1170,1136
8,2,False,,,,13812,6950,1155,1149
9,2,False,,,,13818,6953,1143,1162
10,2,False,,,,13848,6968,1135,1175
11,2,False,,,,13854,6971,1156,1155
12,2,False,,,,13860,6974,1184,1128
13,2,False,,,,13866,6977,1198,1115
14,2,False,,,,13848,6968,1182,1128
15,2,False,,,,13860,6974,1171,1141
16,2,False,,,,13884,6986,1162,1154
17,2,False,,,,13854,6971,1182,1129
18,2,False,,,,13836,6962,1166,1142
19,2,False,,,,13848,6968,1155,1155
20,2,False,,,,13872,6980,1146,1168
21,2,False,,,,13830,6959,1172,1135
22,2,False,,,,13842,6965,1161,1148
23,2,False,,,,13878,6983,1211,1104
24,2,False,,,,13848,6968,1168,1142
25,2,False,,,,13866,6977,1132,1181
26,2,False,,,,13848,6968,1142,1168
27,2,False,,,,13830,6959,1143,1164
28,2,False,,,,13812,6950,1153,1151
29,2,False,,,,13830,6959,1130,1177
30,2,False,,,,13812,6950,1140,1164
31,2,False,,,,13860,6974,1138,1174
32,2,False,,,,13842,6965,1157,1152
33,2,False,,,,13812,6950,1156,1148
34,2,False,,,,13872,6980,1136,1178
35,2,False,,,,13842,6965,1148,1161
36,2,False,,,,13854,6971,1146,1165
37,2,False,,,,13860,6974,1147,1165
38,2,False,,,,13830,6959,1159,1148
39,2,False,,,,13866,6977,1136,1177
40,2,False,,,,13878,6983,1216,1099
41,2,True,2,21,0x1e9c0c0dff,13896,6992,1133,1185
42,2,False,,,,13914,7001,1114,1207
43,2,False,,,,13896,6992,1124,1194
44,2,False,,,,13842,6965,1132,1177
45,2,False,,,,13878,6983,1121,1194
46,2,False,,,,13842,6965,1132,1177
47,2,False,,,,13824,6956,1142,1164
48,2,False,,,,13860,6974,1131,1181
49,2,False,,,,13824,6956,1158,1148
50,2,False,,,,13830,6959,1146,1161
51,2,False,,,,13812,6950,1169,1135
52,2,False,,,,13860,6974,1142,1170
53,2,False,,,,13842,6965,1152,1157
54,2,False,,,,13896,6992,1144,1174
55,2,False,,,,13860,6974,1155,1157
56,2,False,,,,13878,6983,1154,1161
