index,edges,k4,i4,extension_sat,dpll_nodes,unit_props
0,425,1141,1172,False,1883,10770
1,426,1149,1156,False,1777,10418
2,427,1162,1145,False,1979,10918
3,424,1122,1186,False,1385,7779
4,425,1135,1171,False,1651,9337
5,426,1148,1159,False,1471,8771
6,427,1161,1151,False,1587,9139
7,425,1136,1170,False,2389,14619
8,426,1149,1155,False,2005,10974
9,427,1162,1143,False,2375,13569
10,428,1175,1135,False,2021,10687
11,426,1155,1156,False,2211,12426
12,424,1128,1184,False,1477,7931
13,423,1115,1198,False,1407,7359
14,424,1128,1182,False,1597,8991
15,425,1141,1171,False,1469,8962
16,426,1154,1162,False,2091,13026
17,424,1129,1182,False,2331,13827
18,425,1142,1166,False,1913,11040
19,426,1155,1155,False,2435,14000
20,427,1168,1146,False,2377,13139
21,425,1135,1172,False,1391,7430
22,426,1148,1161,False,1613,8628
23,430,1104,1211,False,1029,4502
24,425,1142,1168,False,2307,13225
25,428,1181,1132,False,1069,6008
26,427,1168,1142,False,1015,5060
27,427,1164,1143,False,1049,5966
28,426,1151,1153,False,1505,8341
29,428,1177,1130,False,1283,7784
30,427,1164,1140,False,1069,5922
31,428,1174,1138,False,1205,7138
32,426,1152,1157,False,1139,6066
33,426,1148,1156,False,1007,5523
34,428,1178,1136,False,867,4734
35,427,1161,1148,False,1181,6702
36,427,1165,1146,False,1519,8818
37,427,1165,1147,False,883,4951
38,426,1148,1159,False,879,4670
39,427,1177,1136,False,1979,10955
40,430,1099,1216,False,1137,5137
41,427,1185,1133,False,1725,9532
42,430,1207,1114,False,1433,8496
43,429,1194,1124,False,969,5806
44,428,1177,1132,False,1385,7697
45,429,1194,1121,False,1383,7641
46,428,1177,1132,False,1103,7027
47,427,1164,1142,False,1365,7558
48,428,1181,1131,False,855,4831
49,426,1148,1158,False,1301,7984
50,427,1161,1146,False,1127,6139
51,425,1135,1169,False,1213,6401
52,427,1170,1142,False,1071,7460
53,426,1157,1152,False,1321,7487
54,427,1174,1144,False,1035,5773
55,426,1157,1155,False,1215,7543
56,426,1161,1154,False,1033,5335
57,425,1144,1165,False,1563,8347
58,427,1170,1143,False,1133,7348
59,426,1157,1153,False,1375,7486
60,429,1190,1122,False,1001,6801
61,427,1161,1148,False,1061,6803
62,428,1183,1133,False,989,6861
63,427,1170,1143,False,1385,7603
64,428,1187,1132,False,975,5654
65,427,1174,1142,False,977,5934
66,428,1179,1128,False,1169,7301
67,429,1196,1120,False,1125,6776
68,427,1166,1138,False,1029,6538
69,428,1183,1127,False,1021,6287
70,427,1166,1136,False,1065,6003
71,426,1153,1149,False,1027,5907
72,427,1170,1138,False,1451,8286
73,428,1187,1134,False,1095,6029
74,429,1200,1125,False,1005,6409
75,428,1187,1135,False,1223,7475
76,427,1174,1144,False,1173,6613
77,425,1131,1170,False,1351,6944
78,426,1144,1156,False,1381,6833
79,427,1157,1143,False,2133,11344
80,428,1170,1136,False,1911,10200
81,426,1158,1159,False,1277,7231
82,427,1171,1150,False,1251,7046
83,427,1171,1149,False,1269,6846
84,428,1184,1140,False,1267,7163
85,427,1157,1146,False,981,4985
86,426,1144,1156,False,1883,9570
87,428,1173,1124,False,1119,6455
88,429,1190,1116,False,925,5605
89,428,1171,1130,False,1079,6083
90,430,1203,1109,False,1079,6302
91,430,1203,1106,False,1273,7048
92,426,1145,1154,False,2049,11591
93,428,1171,1127,False,1815,9641
94,429,1184,1120,False,1063,6918
95,427,1158,1140,False,1323,6776
96,429,1192,1118,False,1095,7136
97,430,1209,1110,False,1021,5747
98,428,1180,1133,False,1075,5696
99,427,1167,1143,False,1075,5346
100,430,1200,1114,False,1175,6493
101,428,1174,1131,False,1053,5148
102,428,1174,1131,False,831,4489
103,429,1187,1121,False,1065,5649
104,427,1161,1141,False,1209,6094
105,429,1187,1124,False,995,5394
106,428,1179,1128,False,1099,6981
107,429,1196,1117,False,1033,6411
108,429,1196,1118,False,1049,5693
109,428,1183,1128,False,1487,7594
110,428,1179,1126,False,1141,6703
111,427,1166,1139,False,1127,6547
112,428,1183,1128,False,1365,7842
113,425,1137,1165,False,1267,7237
114,426,1150,1155,False,1381,8263
115,427,1163,1144,False,1063,6184
116,428,1176,1134,False,1409,8356
117,428,1180,1132,False,1411,7588
118,426,1151,1152,False,1061,5666
119,429,1191,1129,False,1365,7576
120,428,1178,1139,False,1271,6712
121,429,1194,1122,False,961,5339
122,426,1158,1157,False,1043,6148
123,425,1141,1169,False,1487,8439
124,425,1141,1168,False,1075,6160
125,426,1154,1159,False,1117,6567
126,424,1124,1182,False,1093,5424
127,425,1137,1167,False,1173,6128
128,426,1150,1155,False,2521,12720
129,427,1163,1147,False,1875,10305
130,425,1137,1168,False,1791,9420
131,426,1150,1157,False,1079,6005
132,427,1158,1140,False,1147,5921
133,430,1199,1107,False,1079,7388
134,429,1186,1117,False,1053,6889
135,429,1190,1116,False,1591,8108
136,427,1160,1137,False,1077,5684
137,428,1177,1126,False,1237,6216
138,429,1186,1114,False,1237,7199
139,428,1173,1127,False,1383,7798
140,429,1190,1116,False,1725,9170
141,428,1173,1127,False,905,5314
142,429,1186,1117,False,1011,6326
143,430,1203,1106,False,1183,6895
144,429,1189,1127,False,1577,7677
145,428,1176,1135,False,1539,7695
146,429,1189,1127,False,1465,8555
147,430,1202,1119,False,1159,6725
148,428,1180,1136,False,1413,7566
149,427,1167,1144,False,1921,11042
150,428,1180,1136,False,1189,6200
151,429,1193,1128,False,1167,6611
152,427,1163,1147,False,2087,11836
153,428,1176,1139,False,1241,6439
154,426,1150,1154,False,1341,7736
155,426,1150,1152,False,1089,5290
156,426,1144,1153,False,1293,6923
157,427,1157,1143,False,1217,6474
158,427,1157,1140,False,1247,6323
159,428,1170,1133,False,1201,7446
160,429,1183,1123,False,1235,7308
161,428,1170,1133,False,943,5730
162,428,1170,1130,False,1231,6410
163,427,1157,1143,False,1547,8174
164,429,1187,1121,False,1051,5860
165,428,1174,1131,False,1385,7243
166,425,1138,1166,False,1887,10553
167,427,1164,1139,False,1535,8379
168,428,1177,1131,False,1213,7362
169,426,1151,1151,False,1939,10739
170,427,1175,1136,False,1487,8884
171,428,1194,1121,False,1727,9795
172,427,1183,1138,False,1585,8751
173,429,1209,1119,False,831,4569
174,426,1170,1148,False,1231,6912
175,428,1196,1129,False,1095,5946
176,427,1183,1138,False,887,4879
177,426,1162,1145,False,1641,9208
178,428,1196,1126,False,955,5351
179,429,1193,1125,False,1981,10988
180,428,1180,1135,False,1497,7869
181,427,1163,1142,False,1091,5592
182,426,1154,1153,False,1307,7109
183,427,1167,1143,False,1203,6441
184,427,1163,1144,False,1419,8262
185,427,1167,1142,False,1089,5918
186,428,1174,1138,False,897,5240
187,427,1164,1141,False,1207,7063
188,426,1164,1145,False,1681,9176
189,429,1189,1129,False,1145,6283
190,427,1184,1130,False,1561,9911
191,426,1166,1145,False,1799,9523
192,425,1153,1161,False,957,5417
193,426,1171,1145,False,1371,7343
194,428,1170,1130,False,1421,6707
195,429,1185,1121,False,1463,7399
196,427,1161,1137,False,1875,9277
197,428,1174,1130,False,1361,8382
198,429,1186,1122,False,1175,7015
199,428,1173,1129,False,1451,7060
200,428,1175,1128,False,1895,8777
201,429,1188,1121,False,1629,9408
202,429,1188,1120,False,949,5232
203,430,1201,1113,False,1443,8328
204,427,1157,1140,False,1347,7197
205,428,1170,1133,False,1537,9657
206,428,1172,1131,False,1573,7956
207,429,1185,1124,False,1637,9656
208,428,1171,1128,False,1711,8655
209,429,1184,1121,False,1001,6346
210,429,1183,1120,False,1453,7127
211,430,1196,1113,False,1027,6354
212,429,1185,1119,False,1929,9395
213,430,1198,1112,False,1215,6695
214,430,1198,1111,False,1299,6681
215,430,1198,1114,False,1217,7140
216,429,1183,1123,False,1059,6856
217,428,1181,1132,False,911,5056
218,428,1178,1137,False,929,5212
219,427,1165,1147,False,1133,6381
220,426,1158,1159,False,1055,5849
221,425,1141,1171,False,1275,7391
222,427,1171,1147,False,1117,6410
223,426,1154,1159,False,1519,8182
224,426,1154,1158,False,1323,7590
225,425,1145,1161,False,1769,8996
226,425,1145,1169,False,1003,5367
227,424,1128,1181,False,1515,7979
228,427,1167,1149,False,1129,6764
229,427,1163,1142,False,1247,6352
230,428,1178,1133,False,1263,6506
231,429,1191,1125,False,1303,7509
232,428,1176,1134,False,1063,7185
233,426,1154,1150,False,1199,6171
234,427,1167,1142,False,1361,8616
235,428,1179,1134,False,1205,7705
236,427,1166,1142,False,1089,5657
237,427,1168,1141,False,1181,6255
238,428,1181,1133,False,1629,9460
239,428,1181,1133,False,1091,5783
240,429,1194,1125,False,1443,8367
241,426,1150,1152,False,1347,7229
242,427,1163,1144,False,1537,9702
243,427,1165,1143,False,1371,7258
244,428,1178,1135,False,1637,9711
245,427,1164,1140,False,1207,6254
246,428,1177,1132,False,1001,6567
247,429,1189,1124,False,1057,7134
248,428,1176,1132,False,1143,6036
249,428,1178,1131,False,1191,6403
250,429,1191,1123,False,1195,6894
251,429,1191,1123,False,1091,5805
252,430,1204,1115,False,1009,5739
253,427,1181,1130,False,1889,10161
254,426,1168,1148,False,1895,10615
255,428,1200,1131,False,817,4515
256,427,1187,1141,False,1035,5646
257,427,1167,1149,False,1011,6303
258,426,1154,1158,False,1357,7832
259,427,1183,1142,False,1103,6203
260,427,1183,1136,False,1185,6490
261,427,1179,1139,False,973,5269
262,426,1166,1153,False,925,5254
263,428,1196,1128,False,1035,5690
264,427,1179,1137,False,1437,8348
265,426,1166,1149,False,1373,7915
266,425,1153,1163,False,1259,7153
267,426,1166,1151,False,1145,6575
268,428,1190,1134,False,885,4874
269,427,1177,1141,False,1033,6027
270,426,1164,1153,False,1183,6817
271,426,1166,1148,False,1281,7853
272,426,1168,1156,False,1005,5515
273,427,1173,1146,False,939,4984
274,426,1160,1160,False,1285,6839
275,426,1160,1153,False,1007,5839
276,425,1147,1167,False,1321,7259
277,424,1134,1179,False,1533,7896
278,425,1151,1172,False,1179,6406
279,426,1164,1158,False,993,5626
280,425,1147,1165,False,1239,6604
281,426,1160,1155,False,1273,6796
282,425,1147,1169,False,1165,5960
283,428,1182,1140,False,1223,6664
284,427,1169,1149,False,1471,7902
285,427,1179,1144,False,1217,6704
286,427,1161,1146,False,1447,7548
287,428,1176,1137,False,1565,8285
288,428,1192,1130,False,1069,5820
289,426,1170,1156,False,1299,7595
290,426,1164,1153,False,1095,5581
291,427,1177,1143,False,1021,5833
292,427,1181,1146,False,915,5063
293,425,1151,1163,False,1563,8523
294,425,1149,1164,False,1281,7495
295,427,1162,1144,False,2211,11339
296,428,1175,1136,False,2013,11172
297,428,1174,1136,False,1711,7995
298,429,1187,1128,False,1187,6316
299,426,1153,1153,False,1999,10478
300,427,1166,1145,False,1509,7792
301,428,1178,1137,False,997,5767
302,427,1165,1145,False,1451,7359
303,426,1148,1156,False,1705,9093
304,427,1161,1148,False,1843,10010
305,426,1158,1152,False,1903,9642
306,426,1159,1157,False,2475,14266
307,425,1146,1166,False,2139,11141
308,426,1158,1158,False,1205,6977
309,427,1171,1149,False,1211,7497
310,427,1173,1148,False,1513,8109
311,426,1160,1157,False,1699,9189
312,427,1173,1149,False,1325,7415
313,428,1186,1140,False,1653,9894
314,426,1154,1159,False,2497,14494
315,425,1141,1168,False,1599,9176
316,427,1169,1150,False,1537,8575
317,426,1156,1159,False,1605,9543
318,427,1168,1147,False,2013,11437
319,426,1155,1156,False,2267,11890
320,427,1167,1148,False,1097,6308
321,428,1180,1139,False,997,5935
322,428,1182,1138,False,1863,10085
323,427,1169,1147,False,1791,9069
324,428,1182,1139,False,1229,6845
325,429,1195,1130,False,1205,6918
326,427,1177,1144,False,983,5271
327,426,1164,1151,False,943,5036
