shift,combined_paf,d_equals_paf_over_4
1,0,0
2,-4,-1
3,-4,-1
4,0,0
5,4,1
6,0,0
7,-4,-1
8,-4,-1
9,-4,-1
10,4,1
11,4,1
12,0,0
13,0,0
14,0,0
15,4,1
16,8,2
17,0,0
18,0,0
19,0,0
20,0,0
21,-4,-1
22,-8,-2
23,4,1
24,4,1
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,4,1
31,0,0
32,-4,-1
33,0,0
34,0,0
35,0,0
36,4,1
37,4,1
38,0,0
39,-8,-2
40,8,2
41,-8,-2
42,-4,-1
43,0,0
44,0,0
45,-4,-1
46,0,0
47,4,1
48,0,0
49,0,0
50,0,0
51,0,0
52,4,1
53,0,0
54,0,0
55,4,1
56,0,0
57,4,1
58,4,1
59,4,1
60,4,1
61,-4,-1
62,4,1
63,4,1
64,-8,-2
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,-4,-1
71,0,0
72,0,0
73,4,1
74,0,0
75,-4,-1
76,0,0
77,0,0
78,0,0
79,-4,-1
80,0,0
81,0,0
82,0,0
83,-8,-2
84,-8,-2
85,0,0
86,0,0
87,0,0
88,-4,-1
89,0,0
90,0,0
91,0,0
92,-4,-1
93,0,0
94,4,1
95,0,0
96,0,0
97,-4,-1
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,-8,-2
104,4,1
105,4,1
106,-4,-1
107,4,1
108,4,1
109,4,1
110,4,1
111,0,0
112,4,1
113,0,0
114,0,0
115,4,1
116,0,0
117,0,0
118,0,0
119,0,0
120,4,1
121,0,0
122,-4,-1
123,0,0
124,0,0
125,-4,-1
126,-8,-2
127,8,2
128,-8,-2
129,0,0
130,4,1
131,4,1
132,0,0
133,0,0
134,0,0
135,-4,-1
136,0,0
137,4,1
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,4,1
144,4,1
145,-8,-2
146,-4,-1
147,0,0
148,0,0
149,0,0
150,0,0
151,8,2
152,4,1
153,0,0
154,0,0
155,0,0
156,4,1
157,4,1
158,-4,-1
159,-4,-1
160,-4,-1
161,0,0
162,4,1
163,0,0
164,-4,-1
165,-4,-1
166,0,0
