domain,problem,shape,tier,action
physics,01_kochen_specker_minimal,R,T2,deprioritise; only loose/obscure cells
physics,02_yang_baxter_9x9,P,T3,reference only; out of scope
physics,03_feynman_periods_bessel,P,T3,reference only; out of scope
physics,04_percolation_critical_polynomials,P,T3,reference only; out of scope
physics,05_mub_dimension_6,W,T1,keep, sharpen toward the witness
physics,06_ising_susceptibility_2d,C,T3,reference only; out of scope
physics,07_ame_existence_table,W,T1,keep, sharpen toward the witness
physics,08_central_configurations,P,T3,reference only; out of scope
physics,09_additivity_counterexample,W,T1,keep, sharpen toward the witness
physics,10_npt_bound_entanglement,W,T1,keep, sharpen toward the witness
physics,11_zauner_sic_povm,W,T1,keep, sharpen toward the witness
physics,12_hard_squares_entropy,C,T3,reference only; out of scope
physics,13_monomer_dimer,C,T3,reference only; out of scope
physics,14_ice_residual_entropy,C,T3,reference only; out of scope
physics,15_saw_connective_constant,C,T3,reference only; out of scope
physics,16_chiral_potts_correlations,P,T3,reference only; out of scope
physics,17_six_vertex_arctic,P,T3,reference only; out of scope
physics,18_grothendieck_constant,C,T3,reference only; out of scope
physics,19_triangular_billiards,P,T3,reference only; out of scope
physics,20_kam_golden_torus,C,T3,reference only; out of scope
physics,21_feigenbaum_constants,C,T3,reference only; out of scope
physics,22_lyapunov_closed_forms,P,T3,reference only; out of scope
physics,23_meander_exponent,C,T3,reference only; out of scope
physics,24_abelian_sandpile,P,T3,reference only; out of scope
physics,25_kpz_2plus1,P,T3,reference only; out of scope
physics,26_convection_bounds,P,T3,reference only; out of scope
physics,27_modular_bootstrap,P,T3,reference only; out of scope
physics,28_lieb_thirring,C,T3,reference only; out of scope
physics,29_self_correcting_memory,W,T1,keep, sharpen toward the witness
physics,30_haldane_gap,P,T3,reference only; out of scope
physics,31_magic_angles,P,T3,reference only; out of scope
physics,32_neel_order_spin_half,P,T3,reference only; out of scope
physics,33_almost_mathieu,C,T3,reference only; out of scope
physics,34_thooft_model,P,T3,reference only; out of scope
physics,35_bcj_duality,P,T3,reference only; out of scope
physics,36_choptuik_constants,C,T3,reference only; out of scope
physics,37_kelvin_problem,R,T2,deprioritise; only loose/obscure cells
physics,38_ising_in_field,P,T3,reference only; out of scope
physics,39_crystallization,P,T3,reference only; out of scope
physics,40_grad_conjecture,W,T1,keep, sharpen toward the witness
physics,41_fast_dynamo,P,T3,reference only; out of scope
physics,42_parker_conjecture,P,T3,reference only; out of scope
physics,43_penrose_inequality,P,T3,reference only; out of scope
physics,44_ionization_conjecture,P,T3,reference only; out of scope
physics,45_spin_glass_transition,P,T3,reference only; out of scope
physics,46_area_law_2d,P,T3,reference only; out of scope
physics,47_bec_thermodynamic,P,T3,reference only; out of scope
physics,48_anderson_2d,P,T3,reference only; out of scope
physics,49_mbl_existence,W,T1,keep, sharpen toward the witness
physics,50_standard_map_entropy,P,T3,reference only; out of scope
mathematics,01_ramsey_R5_5,R,T2,deprioritise; only loose/obscure cells
mathematics,02_hadamard_668,W,T1,keep, sharpen toward the witness
mathematics,03_conway_99_graph,W,T1,keep, sharpen toward the witness
mathematics,04_projective_plane_12,W,T1,keep, sharpen toward the witness
mathematics,05_hadwiger_nelson,R,T2,deprioritise; only loose/obscure cells
mathematics,06_kissing_number_11,R,T2,deprioritise; only loose/obscure cells
mathematics,07_moore_graph_degree_57,W,T1,keep, sharpen toward the witness
mathematics,08_lonely_runner,P,T3,reference only; out of scope
mathematics,09_union_closed_sets,W,T1,keep, sharpen toward the witness
mathematics,10_jacobian_dimension_2,P,T3,reference only; out of scope
mathematics,11_kelvin_weaire_phelan_optimizer,R,T2,deprioritise; only loose/obscure cells
mathematics,12_schur_number_6,R,T2,deprioritise; only loose/obscure cells
mathematics,13_ramsey_r46,R,T2,deprioritise; only loose/obscure cells
mathematics,14_ramsey_r3k,R,T2,deprioritise; only loose/obscure cells
mathematics,15_ramsey_multicolor_3333,R,T2,deprioritise; only loose/obscure cells
mathematics,16_van_der_waerden_w27,R,T2,deprioritise; only loose/obscure cells
mathematics,17_cap_set_n7,R,T2,deprioritise; only loose/obscure cells
mathematics,18_erdos_straus,P,T3,reference only; out of scope
mathematics,19_postage_stamp_bases,R,T2,deprioritise; only loose/obscure cells
mathematics,20_sidon_difference_families,R,T2,deprioritise; only loose/obscure cells
mathematics,21_singmaster,P,T3,reference only; out of scope
mathematics,22_heilbronn_triangle,R,T2,deprioritise; only loose/obscure cells
mathematics,23_borsuk_conjecture,W,T1,keep, sharpen toward the witness
mathematics,24_tammes_problem,R,T2,deprioritise; only loose/obscure cells
mathematics,25_reinhardt_octagon,R,T2,deprioritise; only loose/obscure cells
mathematics,26_circle_packing,R,T2,deprioritise; only loose/obscure cells
mathematics,27_no_three_in_line,R,T2,deprioritise; only loose/obscure cells
